(47, [97548, 97549, 97550, 97552, 97554, 97555, 97556, 97557, 97558, 97559, 97560, 97561, 97562, 97563, 97569, 97571], 1)
(48, [99622, 99627, 99628, 99631, 99632, 99634, 99637, 99638, 99639, 99640, 99642, 99646, 99647, 99648, 99649, 99650], 1)
(49, [101700, 101701, 101702, 101704, 101705, 101707, 101711, 101713, 101714, 101715, 101716, 101717, 101718, 101719, 101721, 101729], 1)
(50, [103778, 103780, 103781, 103786, 103787, 103789, 103792, 103793, 103795, 103796, 103798, 103800, 103801, 103802, 103805, 103806], 1)
(51, [105855, 105860, 105861, 105866, 105867, 105868, 105869, 105871, 105873, 105875, 105876, 105877, 105878, 105879, 105881, 105882], 1)
(52, [107934, 107935, 107936, 107939, 107946, 107947, 107948, 107950, 107951, 107952, 107958, 107959, 107960, 107962, 107964, 107966], 1)
(53, [110015, 110016, 110017, 110018, 110019, 110020, 110021, 110022, 110024, 110026, 110027, 110028, 110031, 110034, 110035, 110036], 1)
(54, [112085, 112086, 112088, 112090, 112091, 112093, 112095, 112098, 112099, 112101, 112102, 112103, 112106, 112107, 112108, 112111], 1)
(55, [114160, 114161, 114162, 114163, 114165, 114167, 114168, 114169, 114171, 114173, 114174, 114175, 114176, 114179, 114180, 114181], 1)
(56, [116235, 116240, 116241, 116242, 116243, 116244, 116246, 116248, 116249, 116251, 116252, 116253, 116254, 116255, 116259, 116263], 1)
(57, [118312, 118314, 118315, 118316, 118318, 118321, 118322, 118323, 118324, 118326, 118331, 118332, 118333, 118334, 118336, 118337], 1)
(58, [120387, 120388, 120389, 120390, 120392, 120394, 120397, 120398, 120399, 120400, 120401, 120402, 120404, 120406, 120409, 120412], 1)
(59, [122461, 122464, 122467, 122468, 122469, 122471, 122472, 122473, 122475, 122477, 122478, 122479, 122480, 122481, 122482, 122483], 1)
(60, [124536, 124537, 124538, 124539, 124543, 124544, 124545, 124546, 124547, 124549, 124552, 124553, 124556, 124558, 124560, 124562], 1)
(61, [126612, 126613, 126616, 126618, 126619, 126620, 126623, 126628, 126629, 126630, 126631, 126633, 126635, 126636, 126637, 126638], 1)
(62, [128689, 128690, 128691, 128692, 128694, 128696, 128697, 128699, 128701, 128703, 128705, 128706, 128711, 128712, 128713, 128714], 1)
(63, [130763, 130767, 130771, 130772, 130773, 130774, 130775, 130776, 130777, 130778, 130780, 130783, 130784, 130785, 130788, 130789], 1)
(64, [132840, 132841, 132842, 132844, 132845, 132846, 132847, 132848, 132849, 132850, 132852, 132854, 132855, 132857, 132858, 132860], 1)
(65, [134909, 134911, 134912, 134913, 134914, 134915, 134916, 134918, 134919, 134921, 134923, 134924, 134925, 134927, 134928, 134929], 1)
(66, [136979, 136985, 136986, 136987, 136988, 136989, 136991, 136992, 136996, 136998, 136999, 137000, 137001, 137002, 137003, 137004], 1)
(67, [139053, 139054, 139060, 139063, 139064, 139065, 139066, 139068, 139069, 139071, 139076, 139079, 139081, 139082, 139083, 139085], 1)
(68, [141134, 141135, 141136, 141137, 141139, 141140, 141141, 141143, 141145, 141146, 141147, 141149, 141150, 141153, 141154, 141156], 1)
(69, [143205, 143206, 143208, 143209, 143211, 143213, 143214, 143215, 143216, 143218, 143219, 143220, 143221, 143222, 143223, 143225], 1)
(70, [145274, 145275, 145278, 145279, 145280, 145282, 145286, 145288, 145290, 145291, 145292, 145293, 145295, 145298, 145299, 145301], 1)
(71, [147350, 147351, 147354, 147355, 147357, 147358, 147360, 147362, 147363, 147365, 147366, 147367, 147368, 147371, 147373, 147375], 1)
(72, [149425, 149427, 149430, 149431, 149432, 149433, 149435, 149436, 149438, 149439, 149440, 149441, 149442, 149443, 149446, 149447], 1)
(73, [151496, 151497, 151498, 151501, 151502, 151505, 151508, 151509, 151511, 151515, 151519, 151520, 151521, 151522, 151523, 151524], 1)
(74, [153574, 153575, 153577, 153582, 153583, 153584, 153588, 153589, 153591, 153592, 153594, 153596, 153597, 153598, 151551, 151551], 1)
(75, [153602, 153603, 153604, 153605, 153606, 153608, 153609, 153613, 153614, 153616, 153617, 153618, 153619, 153620, 153621, 153622], 1)
(76, [155671, 155673, 155674, 155679, 155681, 155683, 155684, 155693, 155696, 155697, 155698, 155700, 155701, 155702, 155705, 155706], 1)
(77, [157755, 157757, 157758, 157759, 157760, 157761, 157762, 157765, 157766, 157767, 157768, 157769, 157770, 157772, 157773, 157775], 1)
(78, [159824, 159825, 159827, 159828, 159829, 159830, 159834, 159835, 159836, 159837, 159839, 159840, 159841, 159844, 159845, 159849], 1)
(79, [161899, 161904, 161907, 161909, 161910, 161912, 161913, 161914, 161917, 161919, 161920, 161921, 161922, 161923, 161924, 161925], 1)
(80, [163976, 163977, 163978, 163980, 163981, 163982, 163984, 163985, 163986, 163988, 163990, 163991, 163993, 163994, 163996, 163998], 1)
(81, [166047, 166049, 166050, 166051, 166055, 166056, 166057, 166058, 166060, 166061, 166062, 166063, 166064, 166065, 166068, 166070], 1)
(82, [168120, 168122, 168123, 168124, 168126, 168129, 168133, 168134, 168136, 168137, 168139, 168140, 168141, 168142, 168145, 168146], 1)
(83, [170197, 170198, 170199, 170200, 170201, 170202, 170206, 170208, 170210, 170211, 170214, 170216, 170218, 170219, 170223, 170224], 1)
